tenure,MonthlyCharges,TotalCharges
27.4904412,67.12769267,2557.274741
34.0904412,60.60769267,2929.204741
27.6904412,59.98769267,2572.934741
36.2904412,57.67769267,2919.454741
27.6904412,64.35769267,2581.634741
8,90,820.5
22,89.1,1949.4
10,29.75,301.9
32.8904412,70.17769267,3160.514741
39.6904412,60.44769267,3248.894741
29.8904412,59.20769267,2668.794741
30.4904412,53.00769267,2616.664741
38.8904412,69.28769267,3687.524741
49,103.7,5036.3
32.2904412,70.31769267,3088.514741
41.0904412,71.86769267,4130.334741
52,20.65,1022.95
41.4904412,70.55769267,4027.754741
29.2904412,60.25769267,2656.974741
31.4904412,67.22769267,2923.884741
27.4904412,57.14769267,2559.234741
29.6904412,53.17769267,2591.754741
27.4904412,53.24769267,2555.334741
38.8904412,61.19769267,3252.324741
37.0904412,61.13769267,3145.364741
33.2904412,60.27769267,2857.424741
47,99.35,4749.15
27.4904412,55.25769267,2557.344741
41.6904412,67.26769267,3825.194741
30.6904412,62.15769267,2769.924741
41.4904412,68.48769267,3904.694741
27.6904412,68.31769267,2587.634741
32.6904412,62.44769267,2926.194741
27.4904412,53.25769267,2555.344741
27.4904412,58.26769267,2560.354741
41.6904412,69.19769267,4001.644741
28.2904412,53.86435933,2614.684741
36.4904412,64.17769267,3260.964741
34.0904412,70.48769267,3261.154741
11,97.85,1105.4
29.2904412,59.12769267,2646.444741
41.2904412,63.05769267,3525.774741
30.6904412,53.36769267,2634.954741
63,79.85,4861.45
13,76.2,981.45
37.0904412,66.11769267,3332.644741
27.6904412,59.06769267,2570.704741
2,80.65,144.15
37.6904412,65.16769267,3394.864741
41.0904412,62.04769267,3402.124741
35.8904412,67.26769267,3319.054741
30.2904412,69.03769267,2836.584741
25,69.5,1752.65
28.8904412,65.34769267,2677.964741
39.2904412,64.18769267,3442.574741
30.8904412,68.30769267,2901.814741
39.8904412,69.14769267,3813.544741
66,108.45,7076.35
34.0904412,54.20769267,2730.164741
41.6904412,70.71769267,4122.044741
36.6904412,69.31769267,3492.724741
39.2904412,67.19769267,3641.444741
41.6904412,57.63769267,3143.704741
30.8904412,60.09769267,2742.724741
29.0904412,68.09769267,2722.754741
27.8904412,64.27769267,2600.124741
47,78.9,3650.35
33.4904412,65.05769267,3050.744741
37.2904412,53.24769267,2737.484741
10,79.85,887.35
27.4904412,59.02769267,2561.114741
37.6904412,53.29769267,2769.434741
64,111.6,7099
62,24.25,1424.6
27.8904412,62.11769267,2586.784741
56,110.5,6139.5
36.4904412,60.34769267,3089.074741
28.8904412,60.14769267,2647.754741
33.2904412,64.16769267,2973.564741
36.2904412,54.39769267,2794.624741
27.4904412,65.08769267,2567.174741
29.4904412,59.32769267,2664.374741
28.6904412,64.24769267,2650.684741
42,103.8,4327.5
37.0904412,53.24769267,2745.974741
29.0904412,69.07769267,2735.054741
34.2904412,61.64769267,2994.394741
36.8904412,53.34769267,2762.704741
36.4904412,53.20769267,2736.724741
33.0904412,55.96769267,2753.154741
33.2904412,65.62769267,3065.344741
1,74.7,74.7
40.4904412,66.01769267,3694.154741
65,111.05,7107
72,100.9,7459.05
29.6904412,65.00769267,2736.774741
41.4904412,62.58769267,3501.044741
28.2904412,53.42769267,2574.074741
52,21,1107.2
32.2904412,68.91769267,3054.204741
27.4904412,53.25769267,2555.344741
27.4904412,53.10769267,2555.194741
34.8904412,68.21769267,3272.424741
40.4904412,58.32769267,3156.754741
68,110,7611.85
28.2904412,54.07769267,2571.344741
41.6904412,70.04769267,4011.914741
32,30.15,927.65
35.8904412,68.08769267,3335.564741
41.6904412,53.09769267,2823.954741
38.2904412,68.56769267,3599.084741
52,57.95,3042.25
35.8904412,67.54769267,3342.124741
34.6904412,64.51769267,3124.934741
40.0904412,60.13769267,3236.004741
27.8904412,67.18769267,2600.984741
34.4904412,55.42769267,2776.574741
10,100.25,1064.65
35.4904412,53.34769267,2718.334741
27,85.2,2151.6
38.4904412,69.17769267,3654.394741
6,20.7,112.75
27.8904412,64.09769267,2597.214741
28.6904412,59.35769267,2621.374741
28.0904412,53.38769267,2563.884741
33.8904412,67.00769267,3156.834741
32.6904412,64.82769267,2978.404741
41.6904412,53.92769267,2896.094741
27.4904412,53.16769267,2555.254741
41.4904412,60.50769267,3348.374741
29.8904412,66.40769267,2794.434741
32.2904412,60.93769267,2851.834741
40.6904412,59.32769267,3203.324741
27.4904412,56.30769267,2558.394741
27.6904412,58.08769267,2567.554741
35.8904412,54.35769267,2788.944741
31.8904412,64.21769267,2907.004741
64,20.2,1277.75
38.6904412,53.13769267,2785.414741
27.4904412,63.30769267,2565.394741
41.6904412,66.82769267,3836.434741
28.8904412,63.44769267,2664.034741
39.4904412,69.42769267,3745.554741
40.0904412,66.07769267,3609.114741
41.4904412,54.00769267,2902.544741
40.2904412,69.02769267,3834.644741
27.8904412,53.13769267,2563.574741
27.4904412,58.34769267,2560.434741
33.2904412,62.11769267,2937.294741
15,69.5,1071.4
28.8904412,62.92769267,2664.174741
7,95,655.5
41.2904412,70.84769267,4137.414741
39.6904412,66.43769267,3594.354741
6,19.7,113.5
30.0904412,65.39769267,2781.864741
31.6904412,66.04769267,2915.694741
31.6904412,53.24769267,2635.284741
30.4904412,62.06769267,2756.104741
10,25.7,251.6
29.8904412,60.41769267,2704.214741
31.2904412,65.69769267,2869.774741
2,69.7,135.2
37.8904412,63.99769267,3342.954741
11,20.6,233.9
41.0904412,53.19769267,2823.994741
28.0904412,63.39769267,2605.904741
72,89.05,6254.45
