RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,PPC,MPC,EB,OR,MS,LA,NES,OS,Body.Weight..kg.,Peak.Power.Mean,Peak.Power.SD,Peak.Power.CoV,Peak.Power.BM.Mean,Peak.Power.BM.SD,Peak.Power.BM.CoV,RSI.Mean,RSI.SD,RSI.CoV,Jump.Height.Mean,Jump.Height.SD,Jump.Height.CoV,Week.Trimp.Total,Daily.Average,Weekly.SD,Monotony,Strain,RT.Volume.Load,HR.min..bpm.,HR.avg..bpm.,HR.max..bpm.,HR.min....,HR.avg....,HR.max....,Distance...min..m.min.,Maximum.speed..km.h.,Average.speed..km.h.,Sprints,Distance.in.Speed.zone.1..m...1.00...4.99.km.h.,Distance.in.Speed.zone.2..m...5.00...6.99.km.h.,Distance.in.Speed.zone.3..m...7.00...10.99.km.h.,Distance.in.Speed.zone.4..m...11.00...14.99.km.h.,Distance.in.Speed.zone.5..m...15.00..km.h.,Number.of.accelerations...50.00....3.00.m.s².,Number.of.accelerations...2.99....2.00.m.s².,Number.of.accelerations...1.99....1.00.m.s².,Number.of.accelerations...0.99....0.50.m.s².,Number.of.accelerations..0.50...0.99.m.s².,Number.of.accelerations..1.00...1.99.m.s².,Number.of.accelerations..2.00...2.99.m.s².,Number.of.accelerations..3.00...50.00.m.s².,Calories..kcal.,Training.load.score,Cardio.load,Recovery.time..h.
46.0,133.0,72.0,64.0,6.21,5.95,9.26,96.0,5.0,4.0,0.0,4.0,2.08,2.11,1.76,0.27,1.47,65.0,11.8945,5.95,33.5,34.0,4.19,67.5,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,75.6,3100.0,270.0,8.7,41.0,3.6,8.7,0.32,0.05,15.6,9.9,0.3,3.5,2558.5393296739685,719.8568116187022,248.03985829501553,3.6194715731061025,11699.818750865967,7214.58942681234,93.41189878689211,150.1102033236895,200.32448113859328,46.559344648530804,75.23400771225863,100.75863492832278,36.95211304387432,25.743288474684295,2.324361609505046,52.38221111589841,1055.4404853849487,803.2826153411359,878.3008947888375,561.7176271749672,704.9818038427069,15.06650539354884,97.53886917676851,300.69729961379414,245.83460973412767,259.6135889604526,288.5915151235696,86.47339270002912,0.9638432522939351,981.1031276898451,171.57611198035025,186.76880482414407,109.90053740710971
55.0,127.0,96.0,82.0,7.89,7.29,8.85,92.0,14.315964326321918,12.0,12.02,5.0,3.47,1.49,2.33,0.62,1.23,39.0,17.3633,7.29,44.0,18.9,4.96,62.9,6.0,5.0,4.0,4.0,4.0,2.0,1.0,3.0,71.4,3595.0,56.0,1.6,50.3,0.8,1.6,0.45,0.01,2.2,12.1,0.7,5.4,2921.3219030467653,718.6710802255395,250.82493454640567,4.002330828018825,12241.788124416367,6686.7776285477885,92.56592645719192,151.39787047960561,208.2116634429101,46.19010217424534,76.0150583417789,104.73550952760054,39.30445750044855,24.919226831213713,2.4829180411418816,59.751134014225315,1047.509391782555,822.7888710329928,876.6602687257358,590.4315177941052,780.6358924590951,22.276619237207562,97.4836027342083,304.19154655386376,245.81722693232473,248.73329342780244,294.98034900524954,90.37819671321688,0.7138609291157744,953.5154652905778,175.94954398433043,190.30906840578746,123.1328380143872
72.0,79.0,32.0,71.0,6.1,5.38,7.55,88.0,19.0,18.0,0.0,4.0,1.43,1.02,2.92,0.73,0.5,49.0,16.9922,7.29,23.4,16.7,2.45,40.2,6.0,6.0,6.0,3.0,4.0,2.0,3.36973141496766,2.0,72.9,3169.0,39.0,1.2,43.5,0.5,1.2,0.33,0.02,6.1,11.0,0.2,1.9,2798.5871687482695,711.3557949350013,234.77801972915776,4.115310767877548,12653.824785450017,6723.148364581808,96.3167143759068,151.35386523315753,203.55473301425496,47.97366699796906,75.86223057048892,102.32435072349658,35.898395946176336,25.749455451184588,2.398826708383519,51.76465787856313,1195.3433367493017,910.236081311485,995.3306150366055,562.8259108401585,630.6358845928287,18.655831607246252,106.07207126982539,354.4512340315936,281.24685731215857,289.98595672448636,349.710481176706,93.92114432219307,1.2574710248779593,1076.8859721580898,186.728541424781,209.04855442665547,137.4619926603526
46.0,107.0,91.0,100.0,5.82,5.5,5.51,94.0,6.0,5.0,3.36,2.0,0.84,1.04,3.62,0.33,0.0,19.0,14.1211,7.72,14.4,17.9,1.88,32.3,2.0,3.710485192639859,3.4447417399533733,2.0,3.80912489735912,3.0528317325629737,3.8027424276785498,3.4439998037538864,83.4,3237.0,8.0,0.3,38.8,0.1,0.3,0.27,0.02,6.1,8.9,0.5,5.1,2625.7433009879246,727.7039239668227,249.20110650075898,3.803579828815279,11502.773373968446,6686.184256486695,94.68843458223247,151.13077363505838,201.4609910355799,47.27272218829025,75.9960286278609,101.35626452968275,37.20955658630327,25.926655644888882,2.3202666168035577,54.14831877946342,1057.2624786511592,811.2110544215591,868.5861009698016,573.123397381235,720.1570848816879,17.456306288144525,98.57619244381466,299.2941794429825,236.59539473690756,251.0551040304252,287.7131279257893,85.60199600537617,0.6188396172388251,990.5535543065826,177.8937667685379,197.84446903905803,139.79074145870177
57.80622075809979,89.78743886492421,66.61029636716225,83.88893698236815,8.112641327419439,7.184221710776887,8.0158845868771,87.72295392234233,18.87070706743021,14.187101074470977,3.7921751380553443,5.441015598487508,2.5201135203322633,1.5055446337954872,3.101020227705495,0.9909690142042857,1.0793072479643655,59.249192870135104,16.413348917580073,7.6140002078008,29.930843384949334,18.11418570631884,3.843039792955713,48.80623494638551,6.0,6.0,6.0,4.0,2.0,2.0,3.0,1.0,72.0,3572.0,37.0,1.0,49.6,0.5,1.0,0.48,0.04,9.3,14.0,0.2,1.3,3371.218572186128,727.0522774396646,230.2789293327813,4.460962629505877,15885.376919577695,6663.6318334714015,85.62444255809253,150.94849800797226,202.78836775271355,42.86979867569256,76.03448160918931,102.33515189353967,37.89616269896967,25.610616634011127,2.3854161036644257,60.92423987118512,1120.8002791213494,873.4735935123438,968.7408910492437,596.4418669933303,755.5903490782363,20.639749636490826,110.78883265336194,326.86923486501286,268.1282627491478,270.63626137338696,321.4343467525856,93.41119637645454,0.7430521110625113,1034.0041759924236,191.30878370434,209.52343725821703,133.9664335995195
53.92187889658287,105.31023687321999,73.24466150965984,85.965059405537,8.951748901482201,7.821032923141831,8.363583987069608,87.89812883954579,19.682018754906395,15.092198741225266,4.1307114204261195,6.951019418399012,2.4822616810835685,1.5762335207932305,3.7188311219691825,1.1608568062612672,1.0077549291166403,61.46898287374025,16.188857987454792,7.807534824551131,27.416523688926258,17.62999568650278,3.757851079073378,47.273476845304586,4.0,3.0,5.0,4.0,2.0,3.0,2.0,3.0,82.6,3515.0,52.0,1.5,42.6,0.6,1.5,0.37,0.01,2.7,10.9,0.6,5.7,2882.732353286517,739.5469748821531,236.60937693893396,4.169275697228999,13073.333507229177,6634.518658196396,91.42202972028788,151.07513299800956,208.11907759791362,45.64503079507878,75.86294377978261,104.73090659081768,40.67971575099524,25.395863541987364,2.5163158165493167,58.90020471396686,1047.2321846454593,831.4146685574593,950.4949103712031,574.4847059969768,795.9344922551807,23.143824720104668,101.19064565871379,314.16007850579797,256.0985994180752,251.83732242024524,308.4714847006259,94.69468310550039,0.6064670361135047,989.0909665060966,180.2842061365822,197.74833337984174,140.6797454557499
57.0,95.0,97.0,100.0,9.95,9.06,8.38,91.0,24.0,23.0,0.0,6.0,3.41,1.9,3.74,0.9,0.62,58.0,17.8125,9.06,34.3,19.1,5.31,53.4,3.0,3.0,4.0,2.0,2.963362572811083,3.0,2.0,4.0,85.5,4068.0,26.0,0.6,47.6,0.3,0.6,0.32,0.02,7.5,11.2,0.3,2.5,2729.0896288959375,765.4120324893436,305.4631460507832,3.767224301974136,11878.775612671623,6719.485359985568,90.74633449892087,153.50248044159713,204.66792426858467,45.26926279546758,77.2546903062707,103.14947607959348,39.288892826649516,25.25716153960223,2.436129298147168,63.43114500981617,1055.32194335932,901.7505274441544,1003.5721936035039,597.3774601340886,749.5302256603902,19.29055726949551,107.00677458318088,330.63467833290116,274.2393996026277,281.13050510143205,319.6069628722744,96.56520328077461,0.6052708451526664,1065.832830343777,196.242272743527,217.27687091773933,150.25435894535576
52.0,30.0,37.0,74.0,6.86,6.28,8.48,91.0,13.0,12.0,4.79,7.0,1.89,1.63,2.76,0.59,0.77,67.0,14.7656,6.28,27.6,23.8,3.52,51.3,2.0,4.0,5.0,2.0,1.0,1.0,2.0,5.0,75.4,4165.0,173.0,4.1,55.2,2.3,4.1,0.55,0.02,3.5,13.6,0.0,0.2,2912.727753879241,782.7976418648066,294.8558502806078,3.4973624928294624,10813.496529775832,6747.589720531639,90.70752485157077,153.66200030962665,204.99288946000965,45.40688121422785,77.23582891052986,103.19615680714094,38.722116340049695,24.932742474465307,2.4220763073843683,62.10197960648279,1086.9894460478322,887.4724724684972,1011.4784291300039,603.4368133582357,730.689582481388,17.595204375635404,108.55843915837397,333.3288787694818,277.7084668161243,286.86202173322806,322.3851785057488,94.5709730227754,0.5249727560196741,1073.5396036341197,196.06097641014077,218.96199288611297,151.29591625086005
54.63494945943533,107.58464583387726,71.00283694681801,82.43875721087674,8.426765227821289,7.4657060456793145,8.491485546733786,88.27243320450388,17.279831553735676,12.988032731476693,3.8663276266854725,5.557723712462663,2.2985682763547035,1.5387668486586077,3.571039889936808,1.0194180965831319,1.1231153394529674,66.41320944893637,15.116571036427406,7.4603064535421355,26.162111878133498,17.753164068500194,3.453811815996006,48.20083395259531,3.0,3.0,3.0,3.0,3.0,3.3690082318522685,3.0,3.0,74.1,3406.0,12.0,0.4,46.0,0.2,0.4,0.4,0.01,3.2,12.4,0.3,2.8,2711.54405600406,683.2826545966368,234.07671851617687,3.9119441334366747,11606.815581088133,7000.069399892023,94.0898151224067,151.45066750777642,201.44489371356147,47.10074828953039,75.8742233388832,101.41167386187858,38.068513774940655,25.567921275652587,2.3881443222422503,55.00663604515287,1061.0955344548358,825.9839483544271,940.2201923031926,547.0349175571914,698.9476252691418,17.626601261262017,105.22869146620337,309.93746911401274,257.10035606762614,258.55393613825663,301.6791267510021,92.31285305068651,0.7693861297031537,990.4013857140435,181.73245849606036,199.156313195848,147.63837622145644
59.0,112.0,66.0,66.0,6.79,6.27,9.52,92.0,10.0,8.0,5.29,5.0,3.17,1.44,1.66,0.53,1.34,87.0,14.4141,6.27,46.7,21.2,4.61,67.9,4.0,3.0,5.0,2.0,3.0,5.0,3.0,1.0,71.4,3372.0,26.0,0.8,47.2,0.4,0.8,0.37,0.01,1.4,11.0,0.5,4.8,2752.1505162257235,709.440690927567,308.3413834553613,3.4942629033944734,11338.644792177744,6279.856873010018,90.5057827452604,153.12001301811875,204.52575977642422,45.14717982875112,76.91253503501773,102.98084563431757,38.98507207770684,25.697625153591776,2.450480966810132,62.756783298734504,1120.3711112709625,915.3356461163261,1029.119944340243,620.3980977351214,731.7973684875475,17.906018088625103,105.33864043038258,332.49605276475023,277.2260317372371,282.4336748719817,320.4444006495447,96.70715584688284,0.6783315668828079,1061.8654243696944,194.88788746284814,215.04231544548207,142.34887112268413
