RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,PPC,MPC,EB,OR,MS,LA,NES,OS,Body.Weight..kg.,Peak.Power.Mean,Peak.Power.SD,Peak.Power.CoV,Peak.Power.BM.Mean,Peak.Power.BM.SD,Peak.Power.BM.CoV,RSI.Mean,RSI.SD,RSI.CoV,Jump.Height.Mean,Jump.Height.SD,Jump.Height.CoV,Week.Trimp.Total,Daily.Average,Weekly.SD,Monotony,Strain,RT.Volume.Load,HR.min..bpm.,HR.avg..bpm.,HR.max..bpm.,HR.min....,HR.avg....,HR.max....,Distance...min..m.min.,Maximum.speed..km.h.,Average.speed..km.h.,Sprints,Distance.in.Speed.zone.1..m...1.00...4.99.km.h.,Distance.in.Speed.zone.2..m...5.00...6.99.km.h.,Distance.in.Speed.zone.3..m...7.00...10.99.km.h.,Distance.in.Speed.zone.4..m...11.00...14.99.km.h.,Distance.in.Speed.zone.5..m...15.00..km.h.,Number.of.accelerations...50.00....3.00.m.s².,Number.of.accelerations...2.99....2.00.m.s².,Number.of.accelerations...1.99....1.00.m.s².,Number.of.accelerations...0.99....0.50.m.s².,Number.of.accelerations..0.50...0.99.m.s².,Number.of.accelerations..1.00...1.99.m.s².,Number.of.accelerations..2.00...2.99.m.s².,Number.of.accelerations..3.00...50.00.m.s².,Calories..kcal.,Training.load.score,Cardio.load,Recovery.time..h.
46.0,133.0,72.0,64.0,6.21,5.95,9.26,96.0,5.0,4.0,0.0,4.0,2.08,2.11,1.76,0.27,1.47,65.0,11.8945,5.95,33.5,34.0,4.19,67.5,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,75.6,3100.0,270.0,8.7,41.0,3.6,8.7,0.32,0.05,15.6,9.9,0.3,3.5,2573.393105838593,665.7261712052295,250.68553688279235,2.9707196137707452,9857.230621079834,7352.670607436701,83.61187193112067,146.00757266239268,197.0527473109351,41.70171402408956,73.3100769588713,98.82760810389901,36.33018956038721,26.292702359207595,2.1005622195977427,49.639999926855296,1081.441079149743,687.8223302306797,780.3192167629371,456.47314951077374,638.5340270541592,10.811083336191466,79.4672826375145,280.741853730299,210.31405521477882,242.63050871554427,256.4092177612072,80.40049857702063,0.803346214429002,1035.6183141711008,159.3856891376887,176.0641165965017,37.01003616461105
55.0,127.0,96.0,82.0,7.89,7.29,8.85,92.0,11.071488997637424,12.0,12.02,5.0,3.47,1.49,2.33,0.62,1.23,39.0,17.3633,7.29,44.0,18.9,4.96,62.9,6.0,5.0,4.0,4.0,4.0,2.0,1.0,3.0,71.4,3595.0,56.0,1.6,50.3,0.8,1.6,0.45,0.01,2.2,12.1,0.7,5.4,3217.055484421325,621.056189336291,291.54036949482133,3.1528580903875802,10633.927946956832,6987.168041895193,84.28661385927998,145.97526940388747,197.43509132763646,41.660556126539205,73.27169302151164,98.77321614667457,34.55540290160796,25.496223029794137,2.0787193339128986,53.64945816848984,965.154263481525,713.1762161118395,807.1495337130544,510.5526734072448,608.6613182806313,16.505427350017307,83.3240406346743,278.2367395536939,209.34664804170177,228.6359951636217,267.4369015739041,80.03888937049841,0.8042788625686548,922.3887912372638,155.76050906969897,176.72101922151538,87.97907582209234
72.0,79.0,32.0,71.0,6.1,5.38,7.55,88.0,19.0,18.0,0.0,4.0,1.43,1.02,2.92,0.73,0.5,49.0,16.9922,7.29,23.4,16.7,2.45,40.2,6.0,6.0,6.0,3.0,4.0,2.0,4.21600582787309,2.0,72.9,3169.0,39.0,1.2,43.5,0.5,1.2,0.33,0.02,6.1,11.0,0.2,1.9,2451.7305433975957,676.4530702086004,259.1070397302615,3.3900242964297345,10353.747882250082,6484.488948627788,84.10702836740509,146.56987329860016,196.93450900857943,41.645451015421486,73.30083572023757,98.78848688445561,30.840244818967605,24.446409785044054,2.3005544067238706,48.168621679632054,1050.769569369946,710.1120233636757,781.840767220528,449.65626705547993,602.9769405703935,19.10325464210529,86.97331995826752,276.8538414931242,221.01309828071498,233.36215344391613,269.9134596479833,80.62054025717633,0.8714773049034434,904.9366136607623,155.5462128246864,176.35137168913676,100.3129325480129
46.0,107.0,91.0,100.0,5.82,5.5,5.51,94.0,6.0,5.0,3.36,2.0,0.84,1.04,3.62,0.33,0.0,19.0,14.1211,7.72,14.4,17.9,1.88,32.3,2.0,2.7325911788469988,2.2610908222734594,2.0,3.7977872101028503,2.0069548301885263,4.202433066644211,3.2345496027583223,83.4,3237.0,8.0,0.3,38.8,0.1,0.3,0.27,0.02,6.1,8.9,0.5,5.1,2829.525511236497,627.2437397817694,262.1582308689317,3.2681734742150663,10161.519832967231,6321.992997995976,83.9909422042093,144.79717043505752,197.12400529196196,41.772919197252065,73.36138789674584,98.8150847239801,35.88293843097925,26.66404512246197,1.9468775698110026,49.72510520024679,1019.6149370823587,732.5907463359208,796.683284777133,527.7439561085187,631.9672193584388,18.87088492831051,82.83769108700298,276.74284833522506,204.00161059977222,230.23123592087597,262.6013638035558,79.15736398070898,0.08910455892884173,966.8917851454128,155.03733588136134,176.11701652849322,107.64766286788381
62.645834260411064,94.426678188039,72.45498374979564,83.13138727506339,7.519700619822779,6.710150896733558,8.495763816152103,88.30987102116477,13.883426541985038,11.969385351490628,2.4161767024695937,4.608393455251013,2.0274000181788945,1.3217395111320989,3.358593522467539,0.8200878924959036,0.9848607936262459,78.73545329580247,15.770915003703585,7.375387052565524,26.118751573848215,16.093456187980912,3.6884454383483907,46.952690294652136,6.0,6.0,6.0,4.0,2.0,2.0,3.0,1.0,72.0,3572.0,37.0,1.0,49.6,0.5,1.0,0.48,0.04,9.3,14.0,0.2,1.3,2750.4080683993884,612.7646534342603,273.49043984027367,3.388830562450769,10092.235887888488,6564.629984482008,82.78757449073606,146.05638250958785,197.30957967352887,41.6705780930038,73.28778976627855,98.80947576689758,32.43488836686983,25.70362278841013,2.087924438777206,55.542663844890455,999.9749111129968,730.3535394460941,798.3786218930933,547.4874882510267,600.3285842864939,14.711811539426783,83.29129435641912,278.7276713438143,218.11059787777003,231.01514763568497,270.0506708281623,80.48887303824922,-0.0054179653151535945,954.8447470902429,156.04864492560608,177.14310762428832,68.94230887470678
53.03203816083426,91.53869679397101,67.45382514831869,75.83450000125919,7.523004298242063,6.708206958558276,8.349130713049707,90.78561590747505,13.93998497936596,11.88621050777184,3.8886349469040358,5.038811305113713,2.030111818792112,1.3218621535182773,3.3585958678551893,0.8218610784354135,0.9266774083109608,47.299024285507926,16.241677227161652,7.231730859278605,28.932891313947692,17.9585009619475,4.005973895761665,49.518884835634246,4.0,3.0,5.0,4.0,2.0,3.0,2.0,3.0,82.6,3515.0,52.0,1.5,42.6,0.6,1.5,0.37,0.01,2.7,10.9,0.6,5.7,2759.594405541962,711.190020529516,268.8151456517012,3.3409727786825894,10188.124083520892,6754.883600294486,83.79595707905659,145.4650243787197,196.9531649102711,41.735535687005246,73.3279353970771,98.78843235875638,37.79573834379458,26.65523002421415,2.142423003201662,44.03971370577176,1012.7711574835466,711.058914671672,787.6017214325783,451.9574816091026,633.0524739993407,15.298011466162997,86.33978809411585,275.92261220398996,205.9650583220166,234.95886839732003,261.8497638886765,79.27538627332224,0.5059911371260171,945.932630322671,156.06790796572358,175.9387613281149,118.97019628085877
57.0,95.0,97.0,100.0,9.95,9.06,8.38,91.0,24.0,23.0,0.0,6.0,3.41,1.9,3.74,0.9,0.62,58.0,17.8125,9.06,34.3,19.1,5.31,53.4,3.0,3.0,4.0,2.0,2.556778474325558,3.0,2.0,4.0,85.5,4068.0,26.0,0.6,47.6,0.3,0.6,0.32,0.02,7.5,11.2,0.3,2.5,2715.458078510937,667.5031666717177,340.28427375577166,3.4930126826450927,10042.546075733117,6796.3151170528345,82.81123554985828,144.9841590575949,196.68648822944678,41.7894601237637,73.42153588840435,98.84245381386586,37.80772632216359,24.93953884468594,2.075141801266602,54.10866384224488,870.5812791778499,738.5382091051479,798.2841092737691,529.4551145993489,651.7272225683569,16.450432223981444,86.06546445473256,273.62134376138073,205.45149943032607,231.21687164700418,266.1208437117625,77.59710641238867,0.7739562827952291,955.9732971673233,154.2712720063069,176.1218909121342,89.77703081873187
52.0,30.0,37.0,74.0,6.86,6.28,8.48,91.0,13.0,12.0,4.79,7.0,1.89,1.63,2.76,0.59,0.77,67.0,14.7656,6.28,27.6,23.8,3.52,51.3,2.0,4.0,5.0,2.0,1.0,1.0,2.0,5.0,75.4,4165.0,173.0,4.1,55.2,2.3,4.1,0.55,0.02,3.5,13.6,0.0,0.2,3301.2025120212033,805.3614625724704,259.880322193078,3.2993769296482878,9546.355561629156,7011.2714119706925,82.66784649279526,145.54121884696124,196.778675636767,41.75693683060213,73.35046041604771,98.83544760052887,36.085511522221125,24.008880286579455,2.091744656748256,48.77980765077331,1012.6524351985354,681.2895357893622,788.853983195332,479.5364876536785,618.9074295249088,15.13182701066237,87.01958811194802,276.50854467475256,205.20119340796532,231.42096359504666,262.0828142131189,79.90343620149419,-0.16496397244004513,981.7679058065359,157.39521636476636,175.9821931368147,104.00477584234704
58.7311312094716,85.6432748614175,70.67164172619943,80.07015821741108,7.524320121832027,6.709572571245695,8.314699546526839,89.25665708041001,14.729048973512356,11.964802532393241,2.9956502585963083,4.132124531108241,2.0284317214173173,1.3218505854477003,3.3585796834318424,0.8206557397691621,0.9607315695201839,70.12766067100995,16.45882415781574,7.250903152182847,25.83990956100928,15.96725340965429,3.6803206978979977,47.596641136248046,3.0,3.0,3.0,3.0,3.0,3.0153085828911017,3.0,3.0,74.1,3406.0,12.0,0.4,46.0,0.2,0.4,0.4,0.01,3.2,12.4,0.3,2.8,3134.2535050671772,647.2265367777154,282.4058672214119,3.3674302316321043,10194.364935690657,6689.90598064762,82.96811315459212,146.00008523321796,197.20414185081512,41.67751122078666,73.29153381513865,98.79250522529135,34.546766579976676,25.842410706090092,2.128009051258614,51.05494531287371,985.9328772335539,711.1053136565106,792.938311756588,537.2680364804885,599.3384515691466,16.601258414503455,84.1500336110559,276.9540842880325,213.9529065111774,230.2752072510488,268.9783244823542,79.94672000804191,0.20813579678759453,932.1925632764677,155.63374251702066,176.88430616009944,79.89525196486034
59.0,112.0,66.0,66.0,6.79,6.27,9.52,92.0,10.0,8.0,5.29,5.0,3.17,1.44,1.66,0.53,1.34,87.0,14.4141,6.27,46.7,21.2,4.61,67.9,4.0,3.0,5.0,2.0,3.0,5.0,3.0,1.0,71.4,3372.0,26.0,0.8,47.2,0.4,0.8,0.37,0.01,1.4,11.0,0.5,4.8,2911.027749534867,533.9912423581472,397.0740678723146,3.3829655585587926,10020.377147638712,6152.483111862586,83.63519034356757,144.73381534840615,197.4137822237227,41.769570345113024,73.25949457852614,98.8002476324082,34.42030516412014,26.970608440512578,2.1365339622541537,50.31678234982485,1100.0556343610624,723.9379723878801,793.4707389340273,521.0024798506067,611.6683688330495,13.057975424854028,85.67309996515516,276.4683404323448,210.88102851157635,236.63179276537699,263.5430057426456,79.20949375464853,-0.09141559130400267,944.3944948359723,156.74542104236576,176.8449509531915,90.01266909795186
