RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,PPC,MPC,EB,OR,MS,LA,NES,OS,Body.Weight..kg.,Peak.Power.Mean,Peak.Power.SD,Peak.Power.CoV,Peak.Power.BM.Mean,Peak.Power.BM.SD,Peak.Power.BM.CoV,RSI.Mean,RSI.SD,RSI.CoV,Jump.Height.Mean,Jump.Height.SD,Jump.Height.CoV,Week.Trimp.Total,Daily.Average,Weekly.SD,Monotony,Strain,RT.Volume.Load,HR.min..bpm.,HR.avg..bpm.,HR.max..bpm.,HR.min....,HR.avg....,HR.max....,Distance...min..m.min.,Maximum.speed..km.h.,Average.speed..km.h.,Sprints,Distance.in.Speed.zone.1..m...1.00...4.99.km.h.,Distance.in.Speed.zone.2..m...5.00...6.99.km.h.,Distance.in.Speed.zone.3..m...7.00...10.99.km.h.,Distance.in.Speed.zone.4..m...11.00...14.99.km.h.,Distance.in.Speed.zone.5..m...15.00..km.h.,Number.of.accelerations...50.00....3.00.m.s².,Number.of.accelerations...2.99....2.00.m.s².,Number.of.accelerations...1.99....1.00.m.s².,Number.of.accelerations...0.99....0.50.m.s².,Number.of.accelerations..0.50...0.99.m.s².,Number.of.accelerations..1.00...1.99.m.s².,Number.of.accelerations..2.00...2.99.m.s².,Number.of.accelerations..3.00...50.00.m.s².,Calories..kcal.,Training.load.score,Cardio.load,Recovery.time..h.
46.0,133.0,72.0,64.0,6.21,5.95,9.26,96.0,5.0,4.0,0.0,4.0,2.08,2.11,1.76,0.27,1.47,65.0,11.8945,5.95,33.5,34.0,4.19,67.5,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,75.6,3100.0,270.0,8.7,41.0,3.6,8.7,0.32,0.05,15.6,9.9,0.3,3.5,3719.39501953125,774.4114379882812,100.24039459228516,6.958621978759766,28425.36328125,7548.962890625,118.44930267333984,168.4022674560547,234.44024658203125,57.96391677856445,84.27340698242188,118.52523040771484,43.045501708984375,26.559202194213867,2.8698172569274902,77.01055145263672,1648.927734375,1400.716796875,1413.31298828125,914.5133056640625,934.171630859375,20.084468841552734,184.12454223632812,505.7328796386719,430.1497497558594,427.62567138671875,493.5113830566406,135.149658203125,2.809147357940674,1398.280517578125,303.3570556640625,305.61688232421875,380.9534912109375
55.0,127.0,96.0,82.0,7.89,7.29,8.85,92.0,14.248957633972168,12.0,12.02,5.0,3.47,1.49,2.33,0.62,1.23,39.0,17.3633,7.29,44.0,18.9,4.96,62.9,6.0,5.0,4.0,4.0,4.0,2.0,1.0,3.0,71.4,3595.0,56.0,1.6,50.3,0.8,1.6,0.45,0.01,2.2,12.1,0.7,5.4,3937.6455078125,886.6860961914062,99.40540313720703,8.354517936706543,30251.033203125,6998.62646484375,118.14469909667969,168.07290649414062,232.89381408691406,57.9588623046875,84.01704406738281,118.06399536132812,49.182010650634766,24.935373306274414,3.164442300796509,91.04570770263672,1714.55908203125,1458.294189453125,1368.279541015625,929.0032348632812,972.7147827148438,26.240694046020508,177.1914520263672,503.709228515625,427.0302429199219,417.0187072753906,480.62786865234375,133.43528747558594,0.9583030939102173,1305.771728515625,302.8493957519531,295.8612976074219,351.16595458984375
72.0,79.0,32.0,71.0,6.1,5.38,7.55,88.0,19.0,18.0,0.0,4.0,1.43,1.02,2.92,0.73,0.5,49.0,16.9922,7.29,23.4,16.7,2.45,40.2,6.0,6.0,6.0,3.0,4.0,2.0,2.46842360496521,2.0,72.9,3169.0,39.0,1.2,43.5,0.5,1.2,0.33,0.02,6.1,11.0,0.2,1.9,4206.19677734375,864.6294555664062,92.70406341552734,8.121919631958008,28424.515625,6196.21923828125,118.0782241821289,167.8582763671875,232.9097442626953,57.69179153442383,84.22376251220703,117.79293060302734,46.26686096191406,27.136329650878906,3.2221505641937256,82.9941635131836,1663.7135009765625,1481.79443359375,1656.5400390625,882.2716064453125,1040.59912109375,17.938928604125977,174.28451538085938,514.3905639648438,452.7119445800781,446.3558654785156,496.8019714355469,132.56837463378906,2.4091551303863525,1454.4764404296875,302.95867919921875,320.9283752441406,361.31787109375
46.0,107.0,91.0,100.0,5.82,5.5,5.51,94.0,6.0,5.0,3.36,2.0,0.84,1.04,3.62,0.33,0.0,19.0,14.1211,7.72,14.4,17.9,1.88,32.3,2.0,4.550097942352295,4.049866199493408,2.0,3.547137975692749,3.4412038326263428,4.047051429748535,3.0211637020111084,83.4,3237.0,8.0,0.3,38.8,0.1,0.3,0.27,0.02,6.1,8.9,0.5,5.1,3575.782470703125,905.2294311523438,101.70331573486328,7.642353057861328,27890.779296875,5979.5146484375,117.45291137695312,167.31552124023438,234.4515380859375,57.65959930419922,84.2322006225586,118.5259017944336,45.37997055053711,27.644695281982422,3.023026943206787,89.55598449707031,1712.0638427734375,1422.590576171875,1341.574951171875,926.0713500976562,1024.21484375,25.17367172241211,184.9407501220703,504.3162841796875,387.8661193847656,399.83251953125,480.3273010253906,131.23580932617188,1.7983708381652832,1405.6591796875,306.4936828613281,328.1423034667969,370.306884765625
56.14371109008789,89.96765899658203,71.87442016601562,86.07173919677734,11.306467056274414,9.689347267150879,8.893438339233398,81.17892456054688,32.810733795166016,21.553133010864258,7.901322364807129,7.725255966186523,4.026531219482422,2.036165475845337,3.3518712520599365,1.887977957725525,2.272545576095581,52.70148849487305,15.683493614196777,8.360925674438477,32.70689392089844,16.19110870361328,4.221463203430176,46.68558120727539,6.0,6.0,6.0,4.0,2.0,2.0,3.0,1.0,72.0,3572.0,37.0,1.0,49.6,0.5,1.0,0.48,0.04,9.3,14.0,0.2,1.3,4117.17626953125,861.0836181640625,87.38276672363281,7.582165718078613,29660.4375,7213.435546875,118.33631896972656,167.94493103027344,232.90284729003906,57.947322845458984,83.89806365966797,118.02594757080078,47.261051177978516,27.324922561645508,3.127727508544922,86.81803131103516,1652.19287109375,1409.740478515625,1558.653564453125,738.920166015625,1033.4197998046875,36.249961853027344,199.95034790039062,506.40673828125,444.82147216796875,399.75439453125,491.2840881347656,137.95030212402344,2.51395583152771,1290.559326171875,301.95745849609375,307.1110534667969,382.3106994628906
55.73579788208008,90.2696304321289,72.84740447998047,86.14923858642578,11.588701248168945,9.689347267150879,8.89456844329834,81.1790542602539,32.810733795166016,21.561796188354492,8.493545532226562,9.844857215881348,4.014560222625732,2.037487268447876,3.4189233779907227,2.023643732070923,2.242967367172241,57.63686752319336,16.385236740112305,8.36425495147705,32.661155700683594,16.265113830566406,4.101991176605225,44.75559616088867,4.0,3.0,5.0,4.0,2.0,3.0,2.0,3.0,82.6,3515.0,52.0,1.5,42.6,0.6,1.5,0.37,0.01,2.7,10.9,0.6,5.7,3944.558837890625,849.78173828125,88.14764404296875,8.247855186462402,29742.072265625,7119.9560546875,118.31587219238281,168.16946411132812,232.91281127929688,57.75852584838867,84.00022888183594,118.02576446533203,46.81796646118164,24.999549865722656,3.127727508544922,87.2008056640625,1553.55615234375,1409.740478515625,1556.2005615234375,748.6643676757812,907.4166259765625,28.18413734436035,176.91091918945312,505.666015625,444.8186950683594,399.81597900390625,497.6706848144531,139.5812225341797,0.31962135434150696,1329.9053955078125,301.8153076171875,307.43988037109375,381.9493713378906
57.0,95.0,97.0,100.0,9.95,9.06,8.38,91.0,24.0,23.0,0.0,6.0,3.41,1.9,3.74,0.9,0.62,58.0,17.8125,9.06,34.3,19.1,5.31,53.4,3.0,3.0,4.0,2.0,2.9593350887298584,3.0,2.0,4.0,85.5,4068.0,26.0,0.6,47.6,0.3,0.6,0.32,0.02,7.5,11.2,0.3,2.5,3834.08154296875,895.060546875,107.12842559814453,8.085134506225586,30258.650390625,6604.998046875,117.5221176147461,167.58706665039062,232.92372131347656,57.22576141357422,84.06536102294922,118.06459045410156,46.851863861083984,27.381731033325195,3.1340761184692383,87.98655700683594,1617.19482421875,1409.740478515625,1408.70458984375,848.8305053710938,1012.1205444335938,32.365379333496094,185.06588745117188,503.540283203125,427.0362548828125,416.42388916015625,488.0769958496094,140.81210327148438,1.445675253868103,1392.7740478515625,302.8022766113281,316.2994384765625,414.7756042480469
52.0,30.0,37.0,74.0,6.86,6.28,8.48,91.0,13.0,12.0,4.79,7.0,1.89,1.63,2.76,0.59,0.77,67.0,14.7656,6.28,27.6,23.8,3.52,51.3,2.0,4.0,5.0,2.0,1.0,1.0,2.0,5.0,75.4,4165.0,173.0,4.1,55.2,2.3,4.1,0.55,0.02,3.5,13.6,0.0,0.2,4173.927734375,800.4302978515625,90.85496520996094,7.055456161499023,25375.11328125,6387.6435546875,117.4714584350586,167.82760620117188,234.45635986328125,57.94637680053711,84.04212951660156,118.30500030517578,45.740196228027344,26.69029426574707,3.047208309173584,86.66958618164062,1633.461181640625,1395.598876953125,1457.6658935546875,929.0458984375,950.7371215820312,25.20722007751465,191.87008666992188,514.1240844726562,444.63189697265625,444.87738037109375,506.006103515625,128.5346221923828,1.9831050634384155,1405.5133056640625,298.7718505859375,324.86474609375,405.7556457519531
56.40205764770508,89.33709716796875,65.82046508789062,86.08206939697266,11.306467056274414,9.689347267150879,8.89450740814209,81.17953491210938,32.810733795166016,21.562374114990234,8.356611251831055,7.985065460205078,4.015773296356201,2.036165475845337,3.3539834022521973,1.8856555223464966,2.2737152576446533,56.129364013671875,15.546915054321289,8.296940803527832,32.6420783996582,16.43220329284668,4.101448059082031,48.174625396728516,3.0,3.0,3.0,3.0,3.0,3.6137325763702393,3.0,3.0,74.1,3406.0,12.0,0.4,46.0,0.2,0.4,0.4,0.01,3.2,12.4,0.3,2.8,3908.958251953125,843.0236206054688,93.27054595947266,8.27068042755127,29723.55859375,7846.5673828125,117.4826431274414,168.11207580566406,232.8909149169922,57.895137786865234,83.89302825927734,118.02552795410156,46.81092834472656,26.79265785217285,3.1412839889526367,87.51773071289062,1618.711181640625,1409.740478515625,1560.890380859375,731.3048706054688,900.5963134765625,28.29477310180664,207.69090270996094,513.7214965820312,444.8396301269531,402.6827087402344,499.78033447265625,156.60073852539062,2.432072162628174,1284.99755859375,301.69073486328125,306.9342346191406,417.4374694824219
59.0,112.0,66.0,66.0,6.79,6.27,9.52,92.0,10.0,8.0,5.29,5.0,3.17,1.44,1.66,0.53,1.34,87.0,14.4141,6.27,46.7,21.2,4.61,67.9,4.0,3.0,5.0,2.0,3.0,5.0,3.0,1.0,71.4,3372.0,26.0,0.8,47.2,0.4,0.8,0.37,0.01,1.4,11.0,0.5,4.8,4096.21630859375,891.9490966796875,90.02665710449219,7.198397636413574,28880.14453125,6071.3076171875,118.69540405273438,168.3250732421875,232.88560485839844,58.03523635864258,83.9166259765625,118.06364440917969,48.92018127441406,26.51297950744629,3.164442300796509,90.00662994384766,1764.96630859375,1535.46630859375,1519.2567138671875,904.986328125,977.1151123046875,26.835140228271484,177.3175811767578,511.60015869140625,441.5398864746094,430.12481689453125,494.0420227050781,137.30947875976562,2.276350736618042,1413.7158203125,302.356201171875,312.00360107421875,389.15252685546875
