RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,PPC,MPC,EB,OR,MS,LA,NES,OS,Body.Weight..kg.,Peak.Power.Mean,Peak.Power.SD,Peak.Power.CoV,Peak.Power.BM.Mean,Peak.Power.BM.SD,Peak.Power.BM.CoV,RSI.Mean,RSI.SD,RSI.CoV,Jump.Height.Mean,Jump.Height.SD,Jump.Height.CoV,Week.Trimp.Total,Daily.Average,Weekly.SD,Monotony,Strain,RT.Volume.Load,HR.min..bpm.,HR.avg..bpm.,HR.max..bpm.,HR.min....,HR.avg....,HR.max....,Distance...min..m.min.,Maximum.speed..km.h.,Average.speed..km.h.,Sprints,Distance.in.Speed.zone.1..m...1.00...4.99.km.h.,Distance.in.Speed.zone.2..m...5.00...6.99.km.h.,Distance.in.Speed.zone.3..m...7.00...10.99.km.h.,Distance.in.Speed.zone.4..m...11.00...14.99.km.h.,Distance.in.Speed.zone.5..m...15.00..km.h.,Number.of.accelerations...50.00....3.00.m.s².,Number.of.accelerations...2.99....2.00.m.s².,Number.of.accelerations...1.99....1.00.m.s².,Number.of.accelerations...0.99....0.50.m.s².,Number.of.accelerations..0.50...0.99.m.s².,Number.of.accelerations..1.00...1.99.m.s².,Number.of.accelerations..2.00...2.99.m.s².,Number.of.accelerations..3.00...50.00.m.s².,Calories..kcal.,Training.load.score,Cardio.load,Recovery.time..h.
46,133,72,64,6.21,5.95,9.26,96,5,4,0,4,2.08,2.11,1.76,0.27,1.47,65,11.8945,5.95,33.5,34,4.19,67.5,4,3,4,5,3,3,3,3,75.6,3100,270,8.7,41,3.6,8.7,0.32,0.05,15.6,9.9,0.3,3.5,2944.508523,726.5131156,266.0279869,3.405045407,10254.92841,6856.813636,82.79831933,145.9411765,196.5294118,41.73109244,73.38655462,98.84033613,35.18487395,24.74453782,2.171428571,48.2605042,949.0336134,722.8739496,785.6722689,501.2016807,621.4033613,17.43697479,85.30252101,274.4117647,212.1092437,233.4117647,266.4369748,79.01680672,0.8067226891,926.0168067,155.5378151,176.5630252,66.19915966
55,127,96,82,7.89,7.29,8.85,92,14.859375,12,12.02,5,3.47,1.49,2.33,0.62,1.23,39,17.3633,7.29,44,18.9,4.96,62.9,6,5,4,4,4,2,1,3,71.4,3595,56,1.6,50.3,0.8,1.6,0.45,0.01,2.2,12.1,0.7,5.4,2944.508523,726.5131156,266.0279869,3.405045407,10254.92841,6856.813636,82.79831933,145.9411765,196.5294118,41.73109244,73.38655462,98.84033613,35.18487395,24.74453782,2.171428571,48.2605042,949.0336134,722.8739496,785.6722689,501.2016807,621.4033613,17.43697479,85.30252101,274.4117647,212.1092437,233.4117647,266.4369748,79.01680672,0.8067226891,926.0168067,155.5378151,176.5630252,66.19915966
72,79,32,71,6.1,5.38,7.55,88,19,18,0,4,1.43,1.02,2.92,0.73,0.5,49,16.9922,7.29,23.4,16.7,2.45,40.2,6,6,6,3,4,2,2.764227642,2,72.9,3169,39,1.2,43.5,0.5,1.2,0.33,0.02,6.1,11,0.2,1.9,2944.508523,726.5131156,266.0279869,3.405045407,10254.92841,6856.813636,82.79831933,145.9411765,196.5294118,41.73109244,73.38655462,98.84033613,35.18487395,24.74453782,2.171428571,48.2605042,949.0336134,722.8739496,785.6722689,501.2016807,621.4033613,17.43697479,85.30252101,274.4117647,212.1092437,233.4117647,266.4369748,79.01680672,0.8067226891,926.0168067,155.5378151,176.5630252,66.19915966
46,107,91,100,5.82,5.5,5.51,94,6,5,3.36,2,0.84,1.04,3.62,0.33,0,19,14.1211,7.72,14.4,17.9,1.88,32.3,2,4.269736842,3.912751678,2,3.300699301,2.816,2.764227642,3.164285714,83.4,3237,8,0.3,38.8,0.1,0.3,0.27,0.02,6.1,8.9,0.5,5.1,2944.508523,726.5131156,266.0279869,3.405045407,10254.92841,6856.813636,82.79831933,145.9411765,196.5294118,41.73109244,73.38655462,98.84033613,35.18487395,24.74453782,2.171428571,48.2605042,949.0336134,722.8739496,785.6722689,501.2016807,621.4033613,17.43697479,85.30252101,274.4117647,212.1092437,233.4117647,266.4369748,79.01680672,0.8067226891,926.0168067,155.5378151,176.5630252,66.19915966
57.44155844,91.14285714,64.92207792,78.44155844,7.521038961,6.70961039,8.394220779,89.52597403,14.859375,12.01298701,3.073376623,5.071428571,2.028636364,1.321818182,3.358636364,0.8207792208,0.9351298701,59.60902256,16.33687597,7.191688312,28.02857143,18.38636364,3.573290323,48.75290323,6,6,6,4,2,2,3,1,72,3572,37,1,49.6,0.5,1,0.48,0.04,9.3,14,0.2,1.3,2944.508523,726.5131156,266.0279869,3.405045407,10254.92841,6856.813636,82.79831933,145.9411765,196.5294118,41.73109244,73.38655462,98.84033613,35.18487395,24.74453782,2.171428571,48.2605042,949.0336134,722.8739496,785.6722689,501.2016807,621.4033613,17.43697479,85.30252101,274.4117647,212.1092437,233.4117647,266.4369748,79.01680672,0.8067226891,926.0168067,155.5378151,176.5630252,66.19915966
57.44155844,91.14285714,64.92207792,78.44155844,7.521038961,6.70961039,8.394220779,89.52597403,14.859375,12.01298701,3.073376623,5.071428571,2.028636364,1.321818182,3.358636364,0.8207792208,0.9351298701,59.60902256,16.33687597,7.191688312,28.02857143,18.38636364,3.573290323,48.75290323,4,3,5,4,2,3,2,3,82.6,3515,52,1.5,42.6,0.6,1.5,0.37,0.01,2.7,10.9,0.6,5.7,2944.508523,726.5131156,266.0279869,3.405045407,10254.92841,6856.813636,82.79831933,145.9411765,196.5294118,41.73109244,73.38655462,98.84033613,35.18487395,24.74453782,2.171428571,48.2605042,949.0336134,722.8739496,785.6722689,501.2016807,621.4033613,17.43697479,85.30252101,274.4117647,212.1092437,233.4117647,266.4369748,79.01680672,0.8067226891,926.0168067,155.5378151,176.5630252,66.19915966
57,95,97,100,9.95,9.06,8.38,91,24,23,0,6,3.41,1.9,3.74,0.9,0.62,58,17.8125,9.06,34.3,19.1,5.31,53.4,3,3,4,2,3.300699301,3,2,4,85.5,4068,26,0.6,47.6,0.3,0.6,0.32,0.02,7.5,11.2,0.3,2.5,2944.508523,726.5131156,266.0279869,3.405045407,10254.92841,6856.813636,82.79831933,145.9411765,196.5294118,41.73109244,73.38655462,98.84033613,35.18487395,24.74453782,2.171428571,48.2605042,949.0336134,722.8739496,785.6722689,501.2016807,621.4033613,17.43697479,85.30252101,274.4117647,212.1092437,233.4117647,266.4369748,79.01680672,0.8067226891,926.0168067,155.5378151,176.5630252,66.19915966
52,30,37,74,6.86,6.28,8.48,91,13,12,4.79,7,1.89,1.63,2.76,0.59,0.77,67,14.7656,6.28,27.6,23.8,3.52,51.3,2,4,5,2,1,1,2,5,75.4,4165,173,4.1,55.2,2.3,4.1,0.55,0.02,3.5,13.6,0,0.2,2944.508523,726.5131156,266.0279869,3.405045407,10254.92841,6856.813636,82.79831933,145.9411765,196.5294118,41.73109244,73.38655462,98.84033613,35.18487395,24.74453782,2.171428571,48.2605042,949.0336134,722.8739496,785.6722689,501.2016807,621.4033613,17.43697479,85.30252101,274.4117647,212.1092437,233.4117647,266.4369748,79.01680672,0.8067226891,926.0168067,155.5378151,176.5630252,66.19915966
57.44155844,91.14285714,64.92207792,78.44155844,7.521038961,6.70961039,8.394220779,89.52597403,14.859375,12.01298701,3.073376623,5.071428571,2.028636364,1.321818182,3.358636364,0.8207792208,0.9351298701,59.60902256,16.33687597,7.191688312,28.02857143,18.38636364,3.573290323,48.75290323,3,3,3,3,3,2.816,3,3,74.1,3406,12,0.4,46,0.2,0.4,0.4,0.01,3.2,12.4,0.3,2.8,2944.508523,726.5131156,266.0279869,3.405045407,10254.92841,6856.813636,82.79831933,145.9411765,196.5294118,41.73109244,73.38655462,98.84033613,35.18487395,24.74453782,2.171428571,48.2605042,949.0336134,722.8739496,785.6722689,501.2016807,621.4033613,17.43697479,85.30252101,274.4117647,212.1092437,233.4117647,266.4369748,79.01680672,0.8067226891,926.0168067,155.5378151,176.5630252,66.19915966
59,112,66,66,6.79,6.27,9.52,92,10,8,5.29,5,3.17,1.44,1.66,0.53,1.34,87,14.4141,6.27,46.7,21.2,4.61,67.9,4,3,5,2,3,5,3,1,71.4,3372,26,0.8,47.2,0.4,0.8,0.37,0.01,1.4,11,0.5,4.8,2944.508523,726.5131156,266.0279869,3.405045407,10254.92841,6856.813636,82.79831933,145.9411765,196.5294118,41.73109244,73.38655462,98.84033613,35.18487395,24.74453782,2.171428571,48.2605042,949.0336134,722.8739496,785.6722689,501.2016807,621.4033613,17.43697479,85.30252101,274.4117647,212.1092437,233.4117647,266.4369748,79.01680672,0.8067226891,926.0168067,155.5378151,176.5630252,66.19915966
58,137,85,100,8.87,8.5,8.17,96,14.859375,11,0,6,1.46,0.8,6.23,0.38,0,46,17.8711,8.5,16.5,9,2.26,25.5,4,4,1,3,4,3,6,4,77.6,2794,37,1.3,36,0.5,1.3,0.32,0.01,3.7,9.1,0,0.5,2944.508523,726.5131156,266.0279869,3.405045407,10254.92841,6856.813636,82.79831933,145.9411765,196.5294118,41.73109244,73.38655462,98.84033613,35.18487395,24.74453782,2.171428571,48.2605042,949.0336134,722.8739496,785.6722689,501.2016807,621.4033613,17.43697479,85.30252101,274.4117647,212.1092437,233.4117647,266.4369748,79.01680672,0.8067226891,926.0168067,155.5378151,176.5630252,66.19915966
55,68,51,65,5.35,5.05,7.74,94,6,5,0,2,1.81,0.79,2.45,0.31,0,74,16.6406,5.05,33.8,14.8,2.6,48.6,3,3,4,3,3,3,2,3,70.2,3080,82,2.6,43.9,1.2,2.6,0.36,0,0.4,10.3,0.4,3.9,2944.508523,726.5131156,266.0279869,3.405045407,10254.92841,6856.813636,82.79831933,145.9411765,196.5294118,41.73109244,73.38655462,98.84033613,35.18487395,24.74453782,2.171428571,48.2605042,949.0336134,722.8739496,785.6722689,501.2016807,621.4033613,17.43697479,85.30252101,274.4117647,212.1092437,233.4117647,266.4369748,79.01680672,0.8067226891,926.0168067,155.5378151,176.5630252,66.19915966
